tf5,TargetToolFace
258.2,160
256,160
256.8,160
251.2,160
245.5,160
251.2,160
256.8,160
256,160
258.2,160
256.8,160
252.6,160
251.2,160
249.8,160
248.4,160
244.1,160
237.1,160
235.7,160
230.1,160
230.1,160
228.7,160
224.5,160
214.6,160
211.8,160
209,160
209,160
207.6,160
203.4,160
196.3,160
194.9,160
196,160
196.3,160
190.7,160
189.3,160
180.9,160
179.5,160
178,160
171,160
169.6,160
168.2,160
168.2,160
166.8,160
164,160
164,160
166.8,160
165.4,160
164,160
166.8,160
165.4,160
164,160
166.8,160
165.4,160
162.6,160
162.6,160
158.4,160
158.4,160
158.4,160
158.4,160
157,160
155.5,160
157,160
155.5,160
154.1,160
154.1,160
156,160
157,160
158,160
159,160
159,160
159.5,160
159.5,160
