explore,learn
0.365043709,-0.633326326
0.588772883,-0.465184253
1.015852951,-0.314144754
1.551852137,-0.174574133
2.45344865,-0.041447741
3.387387266,0.089906259
3.796505918,0.220201902
4.761429477,0.306499634
5.745658905,0.362600466
6.145640425,0.432434079
6.689438888,0.507774071
6.788949923,0.582598984
7.036061082,0.665328899
6.829651545,0.728753998
6.189340104,0.574301918
5.439434296,0.371211851
4.850428302,0.26674597
3.958308963,0.108118865
3.297180165,0.286777071
2.712400627,0.027348926
1.722962759,0.154116478
0.897296461,-0.090171753
0.493681387,0.100565551
-0.197129164,-0.117438871
-1.169927946,0.074633927
-1.859837589,-0.090256092
-2.892268092,0.106662368
-3.34031063,-0.097089113
-3.944926361,0.100871191
-4.363179496,-0.08537926
-4.71768067,0.11270234
-5.087790284,-0.093662777
-5.192745745,0.105833118
-5.2805523,-0.093271201
-5.421860064,0.108075991
-5.461308506,-0.099591832
-5.132269443,0.10131023
-4.918810998,-0.10278537
-3.987703384,0.096155481
-3.588838354,-0.101806259
-2.799997223,0.096494178
-2.35100938,-0.097190891
-1.902622163,0.103762628
-1.146219159,-0.091046695
-0.484023213,0.112577849
0.217524906,-0.092095708
1.138834283,0.109655144
1.710867729,-0.095437358
2.587529373,0.102681829
3.508228754,-0.098385441
4.148995958,0.09939574
4.745900201,-0.100089266
5.486881903,0.099995217
5.930077788,-0.098234924
6.205676264,0.104542041
5.927427402,-0.105571233
5.726403638,0.098689283
5.426394096,-0.108792211
4.819586413,0.095956992
4.252643658,-0.105885148
3.834429807,0.101397145
3.109568278,-0.105945849
2.555280263,0.101101551
1.554866063,-0.107747397
0.555469316,0.099652314
-0.335716326,-0.103304821
-1.35824045,0.105734704
-2.086879571,-0.099758292
-3.097449926,0.110557873
-3.869569404,-0.099317195
-4.896422042,0.110498541
-5.856785685,-0.098265572
-6.51072863,0.112431391
-7.067200166,-0.092809322
-7.229161861,0.119066273
-7.100959897,-0.09195026
-6.651748005,0.120251791
-5.744339008,-0.091497635
-4.73718155,0.120536317
-3.691139082,-0.09232355
-2.979569721,0.121668821
-1.949450147,-0.082969536
-1.539490031,0.132604376
-1.150224533,-0.078540491
-0.375742689,0.136170275
0.314355415,-0.075027979
0.965208343,0.139816379
1.680800925,-0.073297242
2.089480791,0.143863727
2.519898911,-0.073608727
3.565922623,0.143421239
4.613798608,-0.074088416
5.118848912,0.142285666
6.05352817,-0.073649867
6.240244314,0.143998982
6.338071717,-0.073618749
6.463084629,0.144450656
5.980541645,-0.075189989
5.427943401,0.140574167
4.814162158,-0.079144389
4.030908836,0.127815588
3.571301806,-0.089517302
3.000793396,0.113487768
1.950893595,-0.101271776
0.990544022,0.107827022
0.281419771,-0.106705225
-0.502191796,0.098002477
-1.487280213,-0.11408833
-2.099360588,0.091764133
-2.586007666,-0.114670063
-3.491775024,0.091840381
-3.928951003,-0.105410369
-4.877081759,0.103108136
-5.714917541,-0.091135848
-5.848826302,0.119936915
-6.16786201,-0.082406501
-6.294313946,0.127740086
-5.966423482,-0.080681053
-5.57363925,0.128906873
-4.745448841,-0.082073827
-4.342182144,0.118857556
-3.625891374,-0.091910561
-2.576601698,0.093649159
-1.749942852,-0.113033592
-1.325122037,0.065082915
-0.409104557,-0.123985263
0.485328017,0.054666843
1.496710557,-0.10622853
2.287928247,0.076762928
2.855075289,-0.092219416
3.905040095,0.096064132
4.863157153,-0.086495861
5.239111861,0.108057019
6.018038876,-0.084523833
6.32871515,0.114852079
6.809471938,-0.08484464
6.608223599,0.111417122
6.51771662,-0.092516324
6.051157237,0.101360609
5.567693287,-0.098999661
4.832044706,0.0943365
3.960838453,-0.102318339
3.249950065,0.091054659
2.738018905,-0.106603355
2.200984533,0.083373802
1.887369078,-0.110363486
1.428572063,0.081444517
1.060461696,-0.102441779
0.855093149,0.09751001
0.359156136,-0.084381656
0.012342944,0.120579287
-0.666888499,-0.076334255
-1.146402652,0.132950355
-1.36780794,-0.072094561
-1.825526643,0.140096163
-2.126012032,-0.069656903
-3.070784415,0.139866554
-4.066562321,-0.070828608
-4.673755778,0.106605562
-5.722644903,-0.097967845
-6.129569153,0.101249561
-6.427970756,-0.102159757
-7.136175419,0.093797756
-7.259204936,-0.105758474
-7.224606865,0.092731673
-6.630501487,-0.104547713
-5.983664202,0.09062519
-5.012105567,-0.1048286
-3.978713413,0.088022443
-3.217441794,-0.104624673
-2.763966239,0.090802548
-1.821514499,-0.098469742
-1.136422984,0.094198928
-0.15629147,-0.097331616
0.50387596,0.086619017
1.458446618,-0.100906939
2.284546615,0.080549739
2.97859685,-0.09996385
3.613742205,0.084159186
4.590074644,-0.095012211
5.599950048,0.089319557
6.459568347,-0.093255646
6.853354455,0.090235116
7.26851473,-0.087591515
7.238588397,0.102639421
6.626763445,-0.083371093
6.191856374,0.112304405
5.834058094,-0.084062115
5.007170401,0.107089824
3.957800124,-0.091545266
3.379341239,0.096258274
2.990856096,-0.098210099
2.633453897,0.09278349
2.35456812,-0.097001263
2.13569924,0.101826768
1.977505313,-0.090956352
1.785684977,0.110082213
1.373845525,-0.088383328
1.107262066,0.104952596
0.801531843,-0.094173474
